"State","Gender","Age.Cohort","Fit.Bound","LE"
"Alabama","Female","85+ years","fit","7.79405505093601"
"Alabama","Female","< 1 year","lwr","78.6071402224392"
"Alabama","Female","1-4 years","lwr","78.0618863516832"
"Alabama","Female","5-14 years","lwr","74.1544274794304"
"Alabama","Female","15-24 years","lwr","64.2254549126509"
"Alabama","Female","25-34 years","lwr","54.554091994461"
"Alabama","Female","35-44 years","lwr","45.1240466415737"
"Alabama","Female","45-54 years","lwr","36.0254179630619"
"Alabama","Female","55-64 years","lwr","27.5168086951236"
"Alabama","Female","65-74 years","lwr","19.790786527413"
"Alabama","Female","75-84 years","lwr","12.6716435749437"
"Alabama","Female","85+ years","lwr","7.42136186184101"
"Alabama","Female","< 1 year","upr","79.5664767136845"
"Alabama","Female","1-4 years","upr","78.965279521406"
"Alabama","Female","5-14 years","upr","75.0515234795913"
"Alabama","Female","15-24 years","upr","65.1210858399589"
"Alabama","Female","25-34 years","upr","55.4369564175096"
"Alabama","Female","35-44 years","upr","45.9831647866309"
"Alabama","Female","45-54 years","upr","36.8567811224381"
"Alabama","Female","55-64 years","upr","28.2906232843599"
"Alabama","Female","65-74 years","upr","20.5338603728336"
"Alabama","Female","75-84 years","upr","13.3424425597385"
"Alabama","Female","85+ years","upr","8.16674824003103"
"Alabama","Male","< 1 year","fit","72.8740460924075"
"Alabama","Male","1-4 years","fit","72.345525047593"
"Alabama","Male","5-14 years","fit","68.448611899014"
"Alabama","Male","15-24 years","fit","58.5839871109292"
"Alabama","Male","25-34 years","fit","49.4529614569585"
"Alabama","Male","35-44 years","fit","40.621456032335"
"Alabama","Male","45-54 years","fit","32.1102348802381"
"Alabama","Male","55-64 years","fit","24.1736512293237"
"Alabama","Male","65-74 years","fit","17.4396674376089"
"Alabama","Male","75-84 years","fit","11.37654849836"
"Alabama","Male","85+ years","fit","7.11915272345666"
"Alabama","Male","< 1 year","lwr","72.4123680424958"
"Alabama","Male","1-4 years","lwr","71.9129090100082"
"Alabama","Male","5-14 years","lwr","68.0198948202204"
"Alabama","Male","15-24 years","lwr","58.1569198361199"
"Alabama","Male","25-34 years","lwr","49.0424147652215"
"Alabama","Male","35-44 years","lwr","40.2346461905499"
"Alabama","Male","45-54 years","lwr","31.7483333189803"
"Alabama","Male","55-64 years","lwr","23.8518431374509"
"Alabama","Male","65-74 years","lwr","17.1519408856676"
