Age Group,State,Gender,Yearly July 1st Estimates,Population
< 1 year,Alabama,Female,1990,29036
< 1 year,Alabama,Female,1991,29344
< 1 year,Alabama,Female,1992,29492
< 1 year,Alabama,Female,1993,29013
< 1 year,Alabama,Female,1994,28573
< 1 year,Alabama,Female,1995,28330
< 1 year,Alabama,Female,1996,27966
< 1 year,Alabama,Female,1997,28472
< 1 year,Alabama,Female,1998,28467
< 1 year,Alabama,Female,1999,28712
< 1 year,Alabama,Female,2000,29143
< 1 year,Alabama,Female,2001,30131
< 1 year,Alabama,Female,2002,29134
< 1 year,Alabama,Female,2003,28339
< 1 year,Alabama,Female,2004,29033
< 1 year,Alabama,Female,2005,29212
< 1 year,Alabama,Female,2006,29848
< 1 year,Alabama,Female,2007,30948
< 1 year,Alabama,Female,2008,31542
< 1 year,Alabama,Female,2009,30462
< 1 year,Alabama,Female,2010,29115
< 1 year,Alabama,Female,2011,28723
< 1 year,Alabama,Female,2012,28787
< 1 year,Alabama,Female,2013,28220
< 1 year,Alabama,Female,2014,28606
< 1 year,Alabama,Female,2015,29090
< 1 year,Alabama,Female,2016,28978
< 1 year,Alabama,Female,2017,28759
< 1 year,Alabama,Female,2018,28311
< 1 year,Alabama,Female,2019,27821
< 1 year,Alabama,Male,1990,30741
< 1 year,Alabama,Male,1991,31015
< 1 year,Alabama,Male,1992,31083
< 1 year,Alabama,Male,1993,30687
< 1 year,Alabama,Male,1994,30138
< 1 year,Alabama,Male,1995,29818
< 1 year,Alabama,Male,1996,29405
< 1 year,Alabama,Male,1997,29887
< 1 year,Alabama,Male,1998,29910
< 1 year,Alabama,Male,1999,30075
< 1 year,Alabama,Male,2000,30474
< 1 year,Alabama,Male,2001,31406
< 1 year,Alabama,Male,2002,29829
< 1 year,Alabama,Male,2003,29682
< 1 year,Alabama,Male,2004,29894
< 1 year,Alabama,Male,2005,30212
< 1 year,Alabama,Male,2006,30975
< 1 year,Alabama,Male,2007,31959
< 1 year,Alabama,Male,2008,32274
< 1 year,Alabama,Male,2009,31331
< 1 year,Alabama,Male,2010,30156
< 1 year,Alabama,Male,2011,30443
< 1 year,Alabama,Male,2012,29730
< 1 year,Alabama,Male,2013,29176
< 1 year,Alabama,Male,2014,29715
< 1 year,Alabama,Male,2015,30028
< 1 year,Alabama,Male,2016,29856
< 1 year,Alabama,Male,2017,29701
< 1 year,Alabama,Male,2018,29542
< 1 year,Alabama,Male,2019,29080
< 1 year,Alaska,Female,1990,5875
< 1 year,Alaska,Female,1991,5578
< 1 year,Alaska,Female,1992,5386
< 1 year,Alaska,Female,1993,5141
< 1 year,Alaska,Female,1994,4858
< 1 year,Alaska,Female,1995,4620
< 1 year,Alaska,Female,1996,4512
< 1 year,Alaska,Female,1997,4492
< 1 year,Alaska,Female,1998,4474
< 1 year,Alaska,Female,1999,4427
< 1 year,Alaska,Female,2000,4509
< 1 year,Alaska,Female,2001,4696
< 1 year,Alaska,Female,2002,4748
< 1 year,Alaska,Female,2003,4746
< 1 year,Alaska,Female,2004,4876
< 1 year,Alaska,Female,2005,4891
< 1 year,Alaska,Female,2006,4798
< 1 year,Alaska,Female,2007,5143
< 1 year,Alaska,Female,2008,5188
< 1 year,Alaska,Female,2009,5341
< 1 year,Alaska,Female,2010,5391
< 1 year,Alaska,Female,2011,5645
< 1 year,Alaska,Female,2012,5499
< 1 year,Alaska,Female,2013,5491
< 1 year,Alaska,Female,2014,5565
< 1 year,Alaska,Female,2015,5552
< 1 year,Alaska,Female,2016,5470
< 1 year,Alaska,Female,2017,5241
< 1 year,Alaska,Female,2018,4992
< 1 year,Alaska,Female,2019,4881
< 1 year,Alaska,Male,1990,6134
< 1 year,Alaska,Male,1991,5861
< 1 year,Alaska,Male,1992,5687
< 1 year,Alaska,Male,1993,5480
< 1 year,Alaska,Male,1994,5210
< 1 year,Alaska,Male,1995,4968
< 1 year,Alaska,Male,1996,4863
< 1 year,Alaska,Male,1997,4893
< 1 year,Alaska,Male,1998,4881
< 1 year,Alaska,Male,1999,4838
< 1 year,Alaska,Male,2000,4936
< 1 year,Alaska,Male,2001,5130
< 1 year,Alaska,Male,2002,4947
< 1 year,Alaska,Male,2003,5084
< 1 year,Alaska,Male,2004,5083
< 1 year,Alaska,Male,2005,5306
< 1 year,Alaska,Male,2006,5417
< 1 year,Alaska,Male,2007,5507
< 1 year,Alaska,Male,2008,5627
< 1 year,Alaska,Male,2009,5735
< 1 year,Alaska,Male,2010,5649
< 1 year,Alaska,Male,2011,6072
< 1 year,Alaska,Male,2012,5604
< 1 year,Alaska,Male,2013,5827
< 1 year,Alaska,Male,2014,5825
< 1 year,Alaska,Male,2015,5726
< 1 year,Alaska,Male,2016,5753
< 1 year,Alaska,Male,2017,5536
< 1 year,Alaska,Male,2018,5256
< 1 year,Alaska,Male,2019,5097
< 1 year,Arizona,Female,1990,31775
< 1 year,Arizona,Female,1991,32883
< 1 year,Arizona,Female,1992,32897
< 1 year,Arizona,Female,1993,33027
< 1 year,Arizona,Female,1994,33345
< 1 year,Arizona,Female,1995,34774
< 1 year,Arizona,Female,1996,35420
< 1 year,Arizona,Female,1997,35558
< 1 year,Arizona,Female,1998,36786
< 1 year,Arizona,Female,1999,37892
< 1 year,Arizona,Female,2000,38604
< 1 year,Arizona,Female,2001,41474
< 1 year,Arizona,Female,2002,41732
< 1 year,Arizona,Female,2003,42675
< 1 year,Arizona,Female,2004,43612
< 1 year,Arizona,Female,2005,45779
< 1 year,Arizona,Female,2006,45911
< 1 year,Arizona,Female,2007,47183
< 1 year,Arizona,Female,2008,46978
< 1 year,Arizona,Female,2009,42389
< 1 year,Arizona,Female,2010,42423
< 1 year,Arizona,Female,2011,42315
< 1 year,Arizona,Female,2012,41653
< 1 year,Arizona,Female,2013,42173
< 1 year,Arizona,Female,2014,41907
< 1 year,Arizona,Female,2015,42426
< 1 year,Arizona,Female,2016,41565
< 1 year,Arizona,Female,2017,40562
< 1 year,Arizona,Female,2018,40057
< 1 year,Arizona,Female,2019,40021
< 1 year,Arizona,Male,1990,33276
< 1 year,Arizona,Male,1991,34384
< 1 year,Arizona,Male,1992,34299
< 1 year,Arizona,Male,1993,34617
< 1 year,Arizona,Male,1994,34862
< 1 year,Arizona,Male,1995,36347
< 1 year,Arizona,Male,1996,37001
< 1 year,Arizona,Male,1997,37137
< 1 year,Arizona,Male,1998,38549
< 1 year,Arizona,Male,1999,39614
< 1 year,Arizona,Male,2000,40362
< 1 year,Arizona,Male,2001,43247
< 1 year,Arizona,Male,2002,43154
< 1 year,Arizona,Male,2003,44377
< 1 year,Arizona,Male,2004,45504
< 1 year,Arizona,Male,2005,46655
< 1 year,Arizona,Male,2006,48290
< 1 year,Arizona,Male,2007,48994
< 1 year,Arizona,Male,2008,48598
< 1 year,Arizona,Male,2009,44096
< 1 year,Arizona,Male,2010,44225
< 1 year,Arizona,Male,2011,43803
< 1 year,Arizona,Male,2012,43896
< 1 year,Arizona,Male,2013,44048
< 1 year,Arizona,Male,2014,44389
< 1 year,Arizona,Male,2015,44384
< 1 year,Arizona,Male,2016,43537
< 1 year,Arizona,Male,2017,42524
< 1 year,Arizona,Male,2018,41673
< 1 year,Arizona,Male,2019,41908
< 1 year,Arkansas,Female,1990,16898
< 1 year,Arkansas,Female,1991,16907
< 1 year,Arkansas,Female,1992,16863
< 1 year,Arkansas,Female,1993,16421
< 1 year,Arkansas,Female,1994,16553
< 1 year,Arkansas,Female,1995,16978
< 1 year,Arkansas,Female,1996,17219
< 1 year,Arkansas,Female,1997,17244
< 1 year,Arkansas,Female,1998,17364
< 1 year,Arkansas,Female,1999,17501
< 1 year,Arkansas,Female,2000,17812
< 1 year,Arkansas,Female,2001,17859
< 1 year,Arkansas,Female,2002,18264
< 1 year,Arkansas,Female,2003,17913
< 1 year,Arkansas,Female,2004,18352
< 1 year,Arkansas,Female,2005,18957
< 1 year,Arkansas,Female,2006,19226
< 1 year,Arkansas,Female,2007,19644
< 1 year,Arkansas,Female,2008,19924
< 1 year,Arkansas,Female,2009,19025
< 1 year,Arkansas,Female,2010,18617
< 1 year,Arkansas,Female,2011,18736
< 1 year,Arkansas,Female,2012,18604
< 1 year,Arkansas,Female,2013,18316
< 1 year,Arkansas,Female,2014,18533
< 1 year,Arkansas,Female,2015,18672
< 1 year,Arkansas,Female,2016,18629
< 1 year,Arkansas,Female,2017,18287
< 1 year,Arkansas,Female,2018,17994
< 1 year,Arkansas,Female,2019,17744
< 1 year,Arkansas,Male,1990,17553
< 1 year,Arkansas,Male,1991,17578
< 1 year,Arkansas,Male,1992,17512
< 1 year,Arkansas,Male,1993,17157
< 1 year,Arkansas,Male,1994,17274
< 1 year,Arkansas,Male,1995,17761
< 1 year,Arkansas,Male,1996,18017
< 1 year,Arkansas,Male,1997,18071
< 1 year,Arkansas,Male,1998,18226
< 1 year,Arkansas,Male,1999,18350
< 1 year,Arkansas,Male,2000,18616
< 1 year,Arkansas,Male,2001,19154
< 1 year,Arkansas,Male,2002,18953
< 1 year,Arkansas,Male,2003,19242
< 1 year,Arkansas,Male,2004,19414
< 1 year,Arkansas,Male,2005,19750
< 1 year,Arkansas,Male,2006,20296
< 1 year,Arkansas,Male,2007,20886
< 1 year,Arkansas,Male,2008,20860
< 1 year,Arkansas,Male,2009,19937
< 1 year,Arkansas,Male,2010,19613
< 1 year,Arkansas,Male,2011,19499
< 1 year,Arkansas,Male,2012,19733
< 1 year,Arkansas,Male,2013,19321
< 1 year,Arkansas,Male,2014,19408
< 1 year,Arkansas,Male,2015,19778
< 1 year,Arkansas,Male,2016,19666
< 1 year,Arkansas,Male,2017,19110
< 1 year,Arkansas,Male,2018,18928
< 1 year,Arkansas,Male,2019,18611
< 1 year,California,Female,1990,274146
< 1 year,California,Female,1991,292017
< 1 year,California,Female,1992,285083
< 1 year,California,Female,1993,274900
< 1 year,California,Female,1994,266831
< 1 year,California,Female,1995,257831
< 1 year,California,Female,1996,249343
< 1 year,California,Female,1997,242002
< 1 year,California,Female,1998,237508
< 1 year,California,Female,1999,236632
< 1 year,California,Female,2000,239940
< 1 year,California,Female,2001,255750
< 1 year,California,Female,2002,252013
< 1 year,California,Female,2003,255096
< 1 year,California,Female,2004,254748
< 1 year,California,Female,2005,255359
< 1 year,California,Female,2006,254741
< 1 year,California,Female,2007,257778
< 1 year,California,Female,2008,258852
< 1 year,California,Female,2009,244142
< 1 year,California,Female,2010,242612
< 1 year,California,Female,2011,248292
< 1 year,California,Female,2012,242669
< 1 year,California,Female,2013,244327
< 1 year,California,Female,2014,243351
< 1 year,California,Female,2015,244001
< 1 year,California,Female,2016,239429
< 1 year,California,Female,2017,235291
< 1 year,California,Female,2018,226707
< 1 year,California,Female,2019,225948
< 1 year,California,Male,1990,287388
< 1 year,California,Male,1991,306051
< 1 year,California,Male,1992,298354
< 1 year,California,Male,1993,289336
< 1 year,California,Male,1994,280476
< 1 year,California,Male,1995,271061
< 1 year,California,Male,1996,262103
< 1 year,California,Male,1997,254334
< 1 year,California,Male,1998,250466
< 1 year,California,Male,1999,249015
< 1 year,California,Male,2000,252691
< 1 year,California,Male,2001,268607
< 1 year,California,Male,2002,262892
< 1 year,California,Male,2003,267099
< 1 year,California,Male,2004,265602
< 1 year,California,Male,2005,267044
< 1 year,California,Male,2006,265448
< 1 year,California,Male,2007,269455
< 1 year,California,Male,2008,270564
< 1 year,California,Male,2009,254879
< 1 year,California,Male,2010,253114
< 1 year,California,Male,2011,260778
< 1 year,California,Male,2012,254232
< 1 year,California,Male,2013,255272
< 1 year,California,Male,2014,255901
< 1 year,California,Male,2015,256971
< 1 year,California,Male,2016,251467
< 1 year,California,Male,2017,246968
< 1 year,California,Male,2018,238291
< 1 year,California,Male,2019,236641
< 1 year,Colorado,Female,1990,26167
< 1 year,Colorado,Female,1991,25967
< 1 year,Colorado,Female,1992,26262
< 1 year,Colorado,Female,1993,25871
< 1 year,Colorado,Female,1994,25740
< 1 year,Colorado,Female,1995,26051
< 1 year,Colorado,Female,1996,26548
< 1 year,Colorado,Female,1997,27321
< 1 year,Colorado,Female,1998,28301
< 1 year,Colorado,Female,1999,29326
< 1 year,Colorado,Female,2000,30229
< 1 year,Colorado,Female,2001,32926
< 1 year,Colorado,Female,2002,32159
< 1 year,Colorado,Female,2003,32321
< 1 year,Colorado,Female,2004,32287
< 1 year,Colorado,Female,2005,32437
< 1 year,Colorado,Female,2006,32915
< 1 year,Colorado,Female,2007,33481
< 1 year,Colorado,Female,2008,32641
< 1 year,Colorado,Female,2009,32094
< 1 year,Colorado,Female,2010,32696
< 1 year,Colorado,Female,2011,32062
< 1 year,Colorado,Female,2012,31251
< 1 year,Colorado,Female,2013,31644
< 1 year,Colorado,Female,2014,32289
< 1 year,Colorado,Female,2015,32513
< 1 year,Colorado,Female,2016,32577
< 1 year,Colorado,Female,2017,31990
< 1 year,Colorado,Female,2018,31686
< 1 year,Colorado,Female,2019,31573
< 1 year,Colorado,Male,1990,27340
< 1 year,Colorado,Male,1991,27141
< 1 year,Colorado,Male,1992,27391
< 1 year,Colorado,Male,1993,27150
< 1 year,Colorado,Male,1994,26990
< 1 year,Colorado,Male,1995,27325
< 1 year,Colorado,Male,1996,27836
< 1 year,Colorado,Male,1997,28623
< 1 year,Colorado,Male,1998,29725
< 1 year,Colorado,Male,1999,30794
< 1 year,Colorado,Male,2000,31697
< 1 year,Colorado,Male,2001,33862
< 1 year,Colorado,Male,2002,34121
< 1 year,Colorado,Male,2003,34303
< 1 year,Colorado,Male,2004,33850
< 1 year,Colorado,Male,2005,34310
< 1 year,Colorado,Male,2006,34541
< 1 year,Colorado,Male,2007,35314
< 1 year,Colorado,Male,2008,34722
< 1 year,Colorado,Male,2009,34131
< 1 year,Colorado,Male,2010,34235
< 1 year,Colorado,Male,2011,33933
< 1 year,Colorado,Male,2012,33472
< 1 year,Colorado,Male,2013,33037
< 1 year,Colorado,Male,2014,33338
< 1 year,Colorado,Male,2015,33838
< 1 year,Colorado,Male,2016,33915
< 1 year,Colorado,Male,2017,33347
< 1 year,Colorado,Male,2018,32859
< 1 year,Colorado,Male,2019,32988
< 1 year,Connecticut,Female,1990,24212
< 1 year,Connecticut,Female,1991,23293
< 1 year,Connecticut,Female,1992,22928
< 1 year,Connecticut,Female,1993,22401
< 1 year,Connecticut,Female,1994,21893
< 1 year,Connecticut,Female,1995,21562
< 1 year,Connecticut,Female,1996,21119
< 1 year,Connecticut,Female,1997,20844
< 1 year,Connecticut,Female,1998,20788
< 1 year,Connecticut,Female,1999,20845
< 1 year,Connecticut,Female,2000,21118
< 1 year,Connecticut,Female,2001,20700
< 1 year,Connecticut,Female,2002,20447
< 1 year,Connecticut,Female,2003,20649
< 1 year,Connecticut,Female,2004,20295
< 1 year,Connecticut,Female,2005,19995
< 1 year,Connecticut,Female,2006,19400
< 1 year,Connecticut,Female,2007,19787
< 1 year,Connecticut,Female,2008,19197
< 1 year,Connecticut,Female,2009,18774
< 1 year,Connecticut,Female,2010,18551
< 1 year,Connecticut,Female,2011,18410
< 1 year,Connecticut,Female,2012,18143
< 1 year,Connecticut,Female,2013,17774
< 1 year,Connecticut,Female,2014,17549
< 1 year,Connecticut,Female,2015,17833
< 1 year,Connecticut,Female,2016,17567
< 1 year,Connecticut,Female,2017,17336
< 1 year,Connecticut,Female,2018,16976
< 1 year,Connecticut,Female,2019,16863
< 1 year,Connecticut,Male,1990,25425
< 1 year,Connecticut,Male,1991,24419
< 1 year,Connecticut,Male,1992,23972
< 1 year,Connecticut,Male,1993,23529
< 1 year,Connecticut,Male,1994,22965
< 1 year,Connecticut,Male,1995,22592
< 1 year,Connecticut,Male,1996,22088
< 1 year,Connecticut,Male,1997,21791
< 1 year,Connecticut,Male,1998,21769
< 1 year,Connecticut,Male,1999,21815
< 1 year,Connecticut,Male,2000,22066
< 1 year,Connecticut,Male,2001,21967
< 1 year,Connecticut,Male,2002,21547
< 1 year,Connecticut,Male,2003,21761
< 1 year,Connecticut,Male,2004,21509
< 1 year,Connecticut,Male,2005,20580
< 1 year,Connecticut,Male,2006,20708
< 1 year,Connecticut,Male,2007,20792
< 1 year,Connecticut,Male,2008,20302
< 1 year,Connecticut,Male,2009,19633
< 1 year,Connecticut,Male,2010,19518
< 1 year,Connecticut,Male,2011,19223
< 1 year,Connecticut,Male,2012,18742
< 1 year,Connecticut,Male,2013,18354
< 1 year,Connecticut,Male,2014,18777
< 1 year,Connecticut,Male,2015,18589
< 1 year,Connecticut,Male,2016,18291
< 1 year,Connecticut,Male,2017,18224
< 1 year,Connecticut,Male,2018,17965
< 1 year,Connecticut,Male,2019,17762
< 1 year,Delaware,Female,1990,5227
< 1 year,Delaware,Female,1991,5271
< 1 year,Delaware,Female,1992,5154
< 1 year,Delaware,Female,1993,4982
< 1 year,Delaware,Female,1994,4908
< 1 year,Delaware,Female,1995,4815
< 1 year,Delaware,Female,1996,4757
< 1 year,Delaware,Female,1997,4810
< 1 year,Delaware,Female,1998,4876
< 1 year,Delaware,Female,1999,4949
< 1 year,Delaware,Female,2000,5042
< 1 year,Delaware,Female,2001,5268
< 1 year,Delaware,Female,2002,5227
< 1 year,Delaware,Female,2003,5405
< 1 year,Delaware,Female,2004,5444
< 1 year,Delaware,Female,2005,5552
< 1 year,Delaware,Female,2006,5573
< 1 year,Delaware,Female,2007,5829
< 1 year,Delaware,Female,2008,5686
< 1 year,Delaware,Female,2009,5418
< 1 year,Delaware,Female,2010,5383
< 1 year,Delaware,Female,2011,5490
< 1 year,Delaware,Female,2012,5386
< 1 year,Delaware,Female,2013,5287
< 1 year,Delaware,Female,2014,5358
< 1 year,Delaware,Female,2015,5475
< 1 year,Delaware,Female,2016,5546
< 1 year,Delaware,Female,2017,5401
< 1 year,Delaware,Female,2018,5218
< 1 year,Delaware,Female,2019,5187
< 1 year,Delaware,Male,1990,5462
< 1 year,Delaware,Male,1991,5510
< 1 year,Delaware,Male,1992,5389
< 1 year,Delaware,Male,1993,5245
< 1 year,Delaware,Male,1994,5181
< 1 year,Delaware,Male,1995,5086
< 1 year,Delaware,Male,1996,5045
< 1 year,Delaware,Male,1997,5106
< 1 year,Delaware,Male,1998,5196
< 1 year,Delaware,Male,1999,5274
< 1 year,Delaware,Male,2000,5370
< 1 year,Delaware,Male,2001,5501
< 1 year,Delaware,Male,2002,5426
< 1 year,Delaware,Male,2003,5708
< 1 year,Delaware,Male,2004,5585
< 1 year,Delaware,Male,2005,5647
< 1 year,Delaware,Male,2006,5701
< 1 year,Delaware,Male,2007,5790
< 1 year,Delaware,Male,2008,5834
< 1 year,Delaware,Male,2009,5698
< 1 year,Delaware,Male,2010,5615
< 1 year,Delaware,Male,2011,5726
< 1 year,Delaware,Male,2012,5666
< 1 year,Delaware,Male,2013,5512
< 1 year,Delaware,Male,2014,5564
< 1 year,Delaware,Male,2015,5506
< 1 year,Delaware,Male,2016,5481
< 1 year,Delaware,Male,2017,5527
< 1 year,Delaware,Male,2018,5448
< 1 year,Delaware,Male,2019,5431
< 1 year,District of Columbia,Female,1990,4325
< 1 year,District of Columbia,Female,1991,4358
< 1 year,District of Columbia,Female,1992,4122
< 1 year,District of Columbia,Female,1993,3987
< 1 year,District of Columbia,Female,1994,3840
< 1 year,District of Columbia,Female,1995,3544
< 1 year,District of Columbia,Female,1996,3301
< 1 year,District of Columbia,Female,1997,3202
< 1 year,District of Columbia,Female,1998,3066
< 1 year,District of Columbia,Female,1999,3147
< 1 year,District of Columbia,Female,2000,3219
< 1 year,District of Columbia,Female,2001,3680
< 1 year,District of Columbia,Female,2002,3613
< 1 year,District of Columbia,Female,2003,3229
< 1 year,District of Columbia,Female,2004,3637
< 1 year,District of Columbia,Female,2005,3548
< 1 year,District of Columbia,Female,2006,3661
< 1 year,District of Columbia,Female,2007,3735
< 1 year,District of Columbia,Female,2008,3852
< 1 year,District of Columbia,Female,2009,3631
< 1 year,District of Columbia,Female,2010,3735
< 1 year,District of Columbia,Female,2011,4453
< 1 year,District of Columbia,Female,2012,4665
< 1 year,District of Columbia,Female,2013,4707
< 1 year,District of Columbia,Female,2014,4614
< 1 year,District of Columbia,Female,2015,4936
< 1 year,District of Columbia,Female,2016,4819
< 1 year,District of Columbia,Female,2017,4797
< 1 year,District of Columbia,Female,2018,4680
< 1 year,District of Columbia,Female,2019,4674
< 1 year,District of Columbia,Male,1990,4565
< 1 year,District of Columbia,Male,1991,4617
< 1 year,District of Columbia,Male,1992,4375
< 1 year,District of Columbia,Male,1993,4230
< 1 year,District of Columbia,Male,1994,4091
< 1 year,District of Columbia,Male,1995,3740
< 1 year,District of Columbia,Male,1996,3472
< 1 year,District of Columbia,Male,1997,3345
< 1 year,District of Columbia,Male,1998,3220
< 1 year,District of Columbia,Male,1999,3311
< 1 year,District of Columbia,Male,2000,3358
< 1 year,District of Columbia,Male,2001,3799
< 1 year,District of Columbia,Male,2002,3566
< 1 year,District of Columbia,Male,2003,3552
< 1 year,District of Columbia,Male,2004,3637
< 1 year,District of Columbia,Male,2005,3672
< 1 year,District of Columbia,Male,2006,3660
< 1 year,District of Columbia,Male,2007,4000
< 1 year,District of Columbia,Male,2008,4036
< 1 year,District of Columbia,Male,2009,3884
< 1 year,District of Columbia,Male,2010,3872
< 1 year,District of Columbia,Male,2011,4835
< 1 year,District of Columbia,Male,2012,4702
< 1 year,District of Columbia,Male,2013,4947
< 1 year,District of Columbia,Male,2014,4877
< 1 year,District of Columbia,Male,2015,4869
< 1 year,District of Columbia,Male,2016,5007
< 1 year,District of Columbia,Male,2017,5007
< 1 year,District of Columbia,Male,2018,4925
< 1 year,District of Columbia,Male,2019,4878
< 1 year,Florida,Female,1990,92103
< 1 year,Florida,Female,1991,93871
< 1 year,Florida,Female,1992,92002
< 1 year,Florida,Female,1993,91587
< 1 year,Florida,Female,1994,90507
< 1 year,Florida,Female,1995,89050
< 1 year,Florida,Female,1996,89051
< 1 year,Florida,Female,1997,90167
< 1 year,Florida,Female,1998,90744
< 1 year,Florida,Female,1999,91832
< 1 year,Florida,Female,2000,92741
< 1 year,Florida,Female,2001,100673
< 1 year,Florida,Female,2002,99862
< 1 year,Florida,Female,2003,99996
< 1 year,Florida,Female,2004,102499
< 1 year,Florida,Female,2005,105937
< 1 year,Florida,Female,2006,108651
< 1 year,Florida,Female,2007,110166
< 1 year,Florida,Female,2008,108930
< 1 year,Florida,Female,2009,103697
< 1 year,Florida,Female,2010,101965
< 1 year,Florida,Female,2011,104117
< 1 year,Florida,Female,2012,104548
< 1 year,Florida,Female,2013,104032
< 1 year,Florida,Female,2014,106578
< 1 year,Florida,Female,2015,108023
< 1 year,Florida,Female,2016,109690
< 1 year,Florida,Female,2017,109887
< 1 year,Florida,Female,2018,109093
< 1 year,Florida,Female,2019,108278
< 1 year,Florida,Male,1990,96474
< 1 year,Florida,Male,1991,98225
< 1 year,Florida,Male,1992,96053
< 1 year,Florida,Male,1993,96069
< 1 year,Florida,Male,1994,94743
< 1 year,Florida,Male,1995,93190
< 1 year,Florida,Male,1996,93116
< 1 year,Florida,Male,1997,94176
< 1 year,Florida,Male,1998,94934
< 1 year,Florida,Male,1999,95887
< 1 year,Florida,Male,2000,96799
< 1 year,Florida,Male,2001,104813
< 1 year,Florida,Male,2002,104502
< 1 year,Florida,Male,2003,105424
< 1 year,Florida,Male,2004,107322
< 1 year,Florida,Male,2005,110340
< 1 year,Florida,Male,2006,113114
< 1 year,Florida,Male,2007,114651
< 1 year,Florida,Male,2008,113221
< 1 year,Florida,Male,2009,107673
< 1 year,Florida,Male,2010,106002
< 1 year,Florida,Male,2011,108985
< 1 year,Florida,Male,2012,109181
< 1 year,Florida,Male,2013,109116
< 1 year,Florida,Male,2014,111795
< 1 year,Florida,Male,2015,113845
< 1 year,Florida,Male,2016,115259
< 1 year,Florida,Male,2017,115063
< 1 year,Florida,Male,2018,113927
< 1 year,Florida,Male,2019,113185
< 1 year,Georgia,Female,1990,52567
< 1 year,Georgia,Female,1991,52483
< 1 year,Georgia,Female,1992,52712
< 1 year,Georgia,Female,1993,52308
< 1 year,Georgia,Female,1994,52178
< 1 year,Georgia,Female,1995,52431
< 1 year,Georgia,Female,1996,52922
< 1 year,Georgia,Female,1997,54564
< 1 year,Georgia,Female,1998,56262
< 1 year,Georgia,Female,1999,58351
< 1 year,Georgia,Female,2000,59795
< 1 year,Georgia,Female,2001,65578
< 1 year,Georgia,Female,2002,64331
< 1 year,Georgia,Female,2003,64219
< 1 year,Georgia,Female,2004,65773
< 1 year,Georgia,Female,2005,66047
< 1 year,Georgia,Female,2006,68138
< 1 year,Georgia,Female,2007,70784
< 1 year,Georgia,Female,2008,69812
< 1 year,Georgia,Female,2009,65679
< 1 year,Georgia,Female,2010,64926
< 1 year,Georgia,Female,2011,64516
< 1 year,Georgia,Female,2012,64565
< 1 year,Georgia,Female,2013,63037
< 1 year,Georgia,Female,2014,62928
< 1 year,Georgia,Female,2015,64350
< 1 year,Georgia,Female,2016,63838
< 1 year,Georgia,Female,2017,63147
< 1 year,Georgia,Female,2018,62484
< 1 year,Georgia,Female,2019,62146
< 1 year,Georgia,Male,1990,55016
< 1 year,Georgia,Male,1991,54896
< 1 year,Georgia,Male,1992,55087
< 1 year,Georgia,Male,1993,54940
< 1 year,Georgia,Male,1994,54802
< 1 year,Georgia,Male,1995,55095
< 1 year,Georgia,Male,1996,55647
< 1 year,Georgia,Male,1997,57321
< 1 year,Georgia,Male,1998,59331
< 1 year,Georgia,Male,1999,61456
< 1 year,Georgia,Male,2000,62931
< 1 year,Georgia,Male,2001,67878
< 1 year,Georgia,Male,2002,66715
< 1 year,Georgia,Male,2003,66797
< 1 year,Georgia,Male,2004,68515
< 1 year,Georgia,Male,2005,69531
< 1 year,Georgia,Male,2006,71329
< 1 year,Georgia,Male,2007,74126
< 1 year,Georgia,Male,2008,72874
< 1 year,Georgia,Male,2009,68446
< 1 year,Georgia,Male,2010,67661
< 1 year,Georgia,Male,2011,67299
< 1 year,Georgia,Male,2012,66666
< 1 year,Georgia,Male,2013,65094
< 1 year,Georgia,Male,2014,65894
< 1 year,Georgia,Male,2015,66635
< 1 year,Georgia,Male,2016,66301
< 1 year,Georgia,Male,2017,65934
< 1 year,Georgia,Male,2018,65311
< 1 year,Georgia,Male,2019,64995
< 1 year,Hawaii,Female,1990,9170
< 1 year,Hawaii,Female,1991,9375
< 1 year,Hawaii,Female,1992,9271
< 1 year,Hawaii,Female,1993,9087
< 1 year,Hawaii,Female,1994,8855
< 1 year,Hawaii,Female,1995,8480
< 1 year,Hawaii,Female,1996,8071
< 1 year,Hawaii,Female,1997,7754
< 1 year,Hawaii,Female,1998,7607
< 1 year,Hawaii,Female,1999,7572
< 1 year,Hawaii,Female,2000,7663
< 1 year,Hawaii,Female,2001,8148
< 1 year,Hawaii,Female,2002,8177
< 1 year,Hawaii,Female,2003,8083
< 1 year,Hawaii,Female,2004,8872
< 1 year,Hawaii,Female,2005,8589
< 1 year,Hawaii,Female,2006,8631
< 1 year,Hawaii,Female,2007,9076
< 1 year,Hawaii,Female,2008,9032
< 1 year,Hawaii,Female,2009,9220
< 1 year,Hawaii,Female,2010,8799
< 1 year,Hawaii,Female,2011,9215
< 1 year,Hawaii,Female,2012,9255
< 1 year,Hawaii,Female,2013,9119
< 1 year,Hawaii,Female,2014,9141
< 1 year,Hawaii,Female,2015,8777
< 1 year,Hawaii,Female,2016,8939
< 1 year,Hawaii,Female,2017,8650
< 1 year,Hawaii,Female,2018,8301
< 1 year,Hawaii,Female,2019,8201
< 1 year,Hawaii,Male,1990,9617
< 1 year,Hawaii,Male,1991,9830
< 1 year,Hawaii,Male,1992,9716
< 1 year,Hawaii,Male,1993,9579
< 1 year,Hawaii,Male,1994,9323
< 1 year,Hawaii,Male,1995,8942
