"State","Gender","Age.Cohort","Fit.Bound","LE"
"Alabama","Female","85+ years","fit","7.06326439848788"
"Alabama","Female","< 1 year","lwr","77.3756568384179"
"Alabama","Female","1-4 years","lwr","76.8263082805569"
"Alabama","Female","5-14 years","lwr","72.9173521794283"
"Alabama","Female","15-24 years","lwr","62.9871094143353"
"Alabama","Female","25-34 years","lwr","53.316675867009"
"Alabama","Female","35-44 years","lwr","43.8950028140448"
"Alabama","Female","45-54 years","lwr","34.8250466657207"
"Alabama","Female","55-64 years","lwr","26.4089348301917"
"Alabama","Female","65-74 years","lwr","18.7875684830161"
"Alabama","Female","75-84 years","lwr","11.8230188369777"
"Alabama","Female","85+ years","lwr","6.70424727596175"
"Alabama","Female","< 1 year","upr","78.3220322117372"
"Alabama","Female","1-4 years","upr","77.7172534469605"
"Alabama","Female","5-14 years","upr","73.8020988041909"
"Alabama","Female","15-24 years","upr","63.870420511877"
"Alabama","Female","25-34 years","upr","54.1871938676077"
"Alabama","Female","35-44 years","upr","44.7414739858925"
"Alabama","Female","45-54 years","upr","35.6429926460723"
"Alabama","Female","55-64 years","upr","27.1660192935363"
"Alabama","Female","65-74 years","upr","19.5133419800495"
"Alabama","Female","75-84 years","upr","12.4691668277065"
"Alabama","Female","85+ years","upr","7.42217033577941"
"Alabama","Male","< 1 year","fit","71.6093517320384"
"Alabama","Male","1-4 years","fit","71.075116176108"
"Alabama","Male","5-14 years","fit","67.1763410031832"
"Alabama","Male","15-24 years","fit","57.3090034686227"
"Alabama","Male","25-34 years","fit","48.1624830788529"
"Alabama","Male","35-44 years","fit","39.3296863307508"
"Alabama","Male","45-54 years","fit","30.8440741524386"
"Alabama","Male","55-64 years","fit","22.9714622156196"
"Alabama","Male","65-74 years","fit","16.3369958856467"
"Alabama","Male","75-84 years","fit","10.446575658384"
"Alabama","Male","85+ years","fit","6.36072449952336"
"Alabama","Male","< 1 year","lwr","71.1457484401095"
"Alabama","Male","1-4 years","lwr","70.6401598275147"
"Alabama","Male","5-14 years","lwr","66.7452043946318"
"Alabama","Male","15-24 years","lwr","56.8794643998347"
"Alabama","Male","25-34 years","lwr","47.7491396003698"
"Alabama","Male","35-44 years","lwr","38.9398359819486"
"Alabama","Male","45-54 years","lwr","30.4793386384256"
"Alabama","Male","55-64 years","lwr","22.6478584567672"
"Alabama","Male","65-74 years","lwr","16.046536822694"
"Alabama","Male","75-84 years","lwr","10.2206405782981"
"Alabama","Male","85+ years","lwr","6.09628217349857"
"Alabama","Male","< 1 year","upr","72.0586612462484"
"Alabama","Male","1-4 years","upr","71.4991412164493"
"Alabama","Male","5-14 years","upr","67.5968481360135"
"Alabama","Male","15-24 years","upr","57.7279525192082"
"Alabama","Male","25-34 years","upr","48.5660021811102"
"Alabama","Male","35-44 years","upr","39.7108146678537"
"Alabama","Male","45-54 years","upr","31.201062262206"
"Alabama","Male","55-64 years","upr","23.2904313429428"
"Alabama","Male","65-74 years","upr","16.6245132202443"
"Alabama","Male","75-84 years","upr","10.6735911674123"
"Alabama","Male","85+ years","upr","6.62535748331745"
"Alabama","Total","< 1 year","fit","74.7213800306505"
"Alabama","Total","1-4 years","fit","74.1673413010345"
"Alabama","Total","5-14 years","fit","70.2624766299226"
"Alabama","Total","15-24 years","fit","60.3657889334077"
"Alabama","Total","25-34 years","fit","50.9717416610976"
"Alabama","Total","35-44 years","fit","41.8546507390585"
"Alabama","Total","45-54 years","fit","33.0801197628005"
"Alabama","Total","55-64 years","fit","24.9398885954117"
"Alabama","Total","65-74 years","fit","17.831775478277"
"Alabama","Total","75-84 years","fit","11.400669067185"
"Alabama","Total","85+ years","fit","6.80448065173116"
"Alabama","Total","< 1 year","lwr","74.2495771559414"
"Alabama","Total","1-4 years","lwr","73.7245519933028"
"Alabama","Total","5-14 years","lwr","69.8232213039978"
"Alabama","Total","15-24 years","lwr","59.9276920757986"
"Alabama","Total","25-34 years","lwr","50.5453382952081"
"Alabama","Total","35-44 years","lwr","41.4466286326988"
"Alabama","Total","45-54 years","lwr","32.6917424561057"
"Alabama","Total","55-64 years","lwr","24.5880360174773"
"Alabama","Total","65-74 years","lwr","17.5032034958054"
"Alabama","Total","75-84 years","lwr","11.1241182380886"
